
"Acrimony","신랄"
"Anointing Ambidexterity changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 양손잡이 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Ambidexterity changes nothing because this node is already anointed.","이 노드에는 이미 양손잡이 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Ambidexterity changes nothing.","양손잡이 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Ambidexterity will give you","양손잡이 성유를 부으면 다음 효과를 제공"
"Anointing Amplify changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 증폭 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Amplify changes nothing because this node is already anointed.","이 노드에는 이미 증폭 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Amplify changes nothing.","증폭 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Amplify will give you","증폭 성유를 부으면 다음 효과를 제공"
"Anointing Ancestral Knowledge changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 선대의 지식 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Ancestral Knowledge changes nothing because this node is already anointed.","이 노드에는 이미 선대의 지식 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Ancestral Knowledge changes nothing.","선대의 지식 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Ancestral Knowledge will give you","선대의 지식 성유를 부으면 다음 효과를 제공"
"Anointing Annihilation changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 전멸 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Annihilation changes nothing because this node is already anointed.","이 노드에는 이미 전멸 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Annihilation changes nothing.","전멸 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Annihilation will give you","전멸 성유를 부으면 다음 효과를 제공"
"Anointing Anointed Flesh changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 기름 부은 살 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Anointed Flesh changes nothing because this node is already anointed.","이 노드에는 이미 기름 부은 살 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Anointed Flesh changes nothing.","기름 부은 살 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Anointed Flesh will give you","기름 부은 살 성유를 부으면 다음 효과를 제공"
"Anointing Arcane Capacitor changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 비전 축전기 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Arcane Capacitor changes nothing because this node is already anointed.","이 노드에는 이미 비전 축전기 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Arcane Capacitor changes nothing.","비전 축전기 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Arcane Capacitor will give you","비전 축전기 성유를 부으면 다음 효과를 제공"
"Anointing Arcane Chemistry changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 비전의 반응 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Arcane Chemistry changes nothing because this node is already anointed.","이 노드에는 이미 비전의 반응 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Arcane Chemistry changes nothing.","비전의 반응 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Arcane Chemistry will give you","비전의 반응 성유를 부으면 다음 효과를 제공"
"Anointing Arcane Expanse changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 비전 팽창 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Arcane Expanse changes nothing because this node is already anointed.","이 노드에는 이미 비전 팽창 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Arcane Expanse changes nothing.","비전 팽창 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Arcane Expanse will give you","비전 팽창 성유를 부으면 다음 효과를 제공"
"Anointing Arcane Focus changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 비전의 집중 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Arcane Focus changes nothing because this node is already anointed.","이 노드에는 이미 비전의 집중 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Arcane Focus changes nothing.","비전의 집중 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Arcane Focus will give you","비전의 집중 성유를 부으면 다음 효과를 제공"
"Anointing Arcane Guarding changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 비전 수호 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Arcane Guarding changes nothing because this node is already anointed.","이 노드에는 이미 비전 수호 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Arcane Guarding changes nothing.","비전 수호 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Arcane Guarding will give you","비전 수호 성유를 부으면 다음 효과를 제공"
"Anointing Arcane Potency changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 비전의 잠재력 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Arcane Potency changes nothing because this node is already anointed.","이 노드에는 이미 비전의 잠재력 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Arcane Potency changes nothing.","비전의 잠재력 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Arcane Potency will give you","비전의 잠재력 성유를 부으면 다음 효과를 제공"
"Anointing Arcane Sanctuary changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 비전의 성역 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Arcane Sanctuary changes nothing because this node is already anointed.","이 노드에는 이미 비전의 성역 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Arcane Sanctuary changes nothing.","비전의 성역 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Arcane Sanctuary will give you","비전의 성역 성유를 부으면 다음 효과를 제공"
"Anointing Arcane Will changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 비전의 의지 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Arcane Will changes nothing because this node is already anointed.","이 노드에는 이미 비전의 의지 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Arcane Will changes nothing.","비전의 의지 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Arcane Will will give you","비전의 의지 성유를 부으면 다음 효과를 제공"
"Anointing Arcanist's Dominion changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 신비학자의 지배력 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Arcanist's Dominion changes nothing because this node is already anointed.","이 노드에는 이미 신비학자의 지배력 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Arcanist's Dominion changes nothing.","신비학자의 지배력 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Arcanist's Dominion will give you","신비학자의 지배력 성유를 부으면 다음 효과를 제공"
"Anointing Arcing Blows changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 전호의 일격 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Arcing Blows changes nothing because this node is already anointed.","이 노드에는 이미 전호의 일격 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Arcing Blows changes nothing.","전호의 일격 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Arcing Blows will give you","전호의 일격 성유를 부으면 다음 효과를 제공"
"Anointing Arsonist changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 방화범 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Arsonist changes nothing because this node is already anointed.","이 노드에는 이미 방화범 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Arsonist changes nothing.","방화범 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Arsonist will give you","방화범 성유를 부으면 다음 효과를 제공"
"Anointing Art of the Gladiator changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 검투사의 기교 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Art of the Gladiator changes nothing because this node is already anointed.","이 노드에는 이미 검투사의 기교 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Art of the Gladiator changes nothing.","검투사의 기교 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Art of the Gladiator will give you","검투사의 기교 성유를 부으면 다음 효과를 제공"
"Anointing Ash, Frost and Storm changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 재, 서리, 태풍 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Ash, Frost and Storm changes nothing because this node is already anointed.","이 노드에는 이미 재, 서리, 태풍 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Ash, Frost and Storm changes nothing.","재, 서리, 태풍 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Ash, Frost and Storm will give you","재, 서리, 태풍 성유를 부으면 다음 효과를 제공"
"Anointing Aspect of Stone changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 돌의 위상 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Aspect of Stone changes nothing because this node is already anointed.","이 노드에는 이미 돌의 위상 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Aspect of Stone changes nothing.","돌의 위상 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Aspect of Stone will give you","돌의 위상 성유를 부으면 다음 효과를 제공"
"Anointing Aspect of the Eagle changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 독수리의 위상 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Aspect of the Eagle changes nothing because this node is already anointed.","이 노드에는 이미 독수리의 위상 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Aspect of the Eagle changes nothing.","독수리의 위상 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Aspect of the Eagle will give you","독수리의 위상 성유를 부으면 다음 효과를 제공"
"Anointing Aspect of the Lynx changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 스라소니의 위상 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Aspect of the Lynx changes nothing because this node is already anointed.","이 노드에는 이미 스라소니의 위상 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Aspect of the Lynx changes nothing.","스라소니의 위상 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Aspect of the Lynx will give you","스라소니의 위상 성유를 부으면 다음 효과를 제공"
"Anointing Assassination changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 암살 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Assassination changes nothing because this node is already anointed.","이 노드에는 이미 암살 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Assassination changes nothing.","암살 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Assassination will give you","암살 성유를 부으면 다음 효과를 제공"
"Anointing Assured Strike changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 확실한 타격 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Assured Strike changes nothing because this node is already anointed.","이 노드에는 이미 확실한 타격 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Assured Strike changes nothing.","확실한 타격 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Assured Strike will give you","확실한 타격 성유를 부으면 다음 효과를 제공"
"Anointing Asylum changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 보호소 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Asylum changes nothing because this node is already anointed.","이 노드에는 이미 보호소 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Asylum changes nothing.","보호소 성유를 부어도 아무것도 변경되지 않습니다."
